acute161_0005.acq
5 msec/sample
5 channels
PPG100C
Volts
GSR100C
microsiemens
RSP100C
Volts
Scanner TTL
Volts
Scanner Trigger
Volts
min	CH1	CH2	CH3	CH6	CH20	
0.00841667	0.00732422	1.92871	1.94885	-0.00152588	5	
0.0085	0.00701904	1.93634	1.97327	-0.000610352	5	
0.00858333	0.00793457	1.93482	1.99341	0	5	
0.00866667	0.00793457	1.93329	2.00775	-0.000915527	5	
0.00875	0.00732422	1.93176	2.01904	0.000305176	5	
0.00883333	0.00762939	1.93329	2.02637	-0.000610352	5	
0.00891667	0.00793457	1.93329	2.03064	-0.000305176	5	
0.009	0.00793457	1.93482	2.03339	-0.00152588	5	
0.00908333	0.00732422	1.93329	2.03491	0	5	
0.00916667	0.00762939	1.93482	2.03369	-0.0012207	5	
0.00925	0.00762939	1.93482	2.03308	-0.000610352	5	
0.00933333	0.00762939	1.93329	2.03217	-0.000610352	5	
0.00941667	0.00762939	1.93787	2.03064	0	5	
0.0095	0.00762939	1.93482	2.03003	0.000610352	5	
0.00958333	0.00732422	1.93024	2.02972	0	5	
0.00966667	0.00732422	1.93329	2.02972	-0.0012207	5	
0.00975	0.00732422	1.93329	2.03094	-0.0012207	5	
0.00983333	0.00701904	1.93482	2.03186	-0.000610352	5	
0.00991667	0.00793457	1.93329	2.03247	-0.000610352	5	
0.01	0.00732422	1.93176	2.03522	0	5	
0.0100833	0.00762939	1.93024	2.03735	-0.000915527	5	
0.0101667	0.00793457	1.93787	2.0401	-0.000915527	5	
0.01025	0.00732422	1.93176	2.04376	-0.000610352	5	
0.0103333	0.00762939	1.93024	2.04803	-0.000610352	5	
0.0104167	0.00732422	1.93634	2.05139	0.000305176	5	
0.0105	0.00823975	1.92871	2.05444	-0.000610352	5	
0.0105833	0.00793457	1.93024	2.0575	-0.000610352	5	
0.0106667	0.00823975	1.93634	2.05902	-0.000915527	5	
0.01075	0.00762939	1.93176	2.05963	0.000305176	5	
0.0108333	0.00793457	1.93329	2.05872	-0.000610352	5	
0.0109167	0.00732422	1.93482	2.05811	-0.000610352	5	
0.011	0.00793457	1.93024	2.05627	-0.000915527	5	
0.0110833	0.00732422	1.92719	2.05383	-0.000915527	5	
0.0111667	0.00793457	1.93482	2.05048	-0.000610352	5	
0.01125	0.00793457	1.93176	2.04559	-0.000610352	5	
0.0113333	0.00793457	1.93482	2.04102	0	5	
0.0114167	0.00823975	1.93787	2.03522	-0.0012207	5	
0.0115	0.00793457	1.93176	2.03003	0.000610352	5	
0.0115833	0.00793457	1.93024	2.02484	0	5	
0.0116667	0.00793457	1.93939	2.02148	-0.000305176	5	
0.01175	0.00793457	1.93176	2.01935	-0.000610352	5	
0.0118333	0.00762939	1.93329	2.0163	0.000305176	5	
0.0119167	0.00823975	1.93939	2.01447	-0.000915527	5	
0.012	0.00854492	1.93329	2.01263	0.000610352	5	
0.0120833	0.00793457	1.93176	2.00867	0.000305176	5	
0.0121667	0.00854492	1.93939	2.00653	-0.000915527	5	
0.01225	0.00793457	1.93329	2.00134	-0.000305176	5	
0.0123333	0.0088501	1.93329	1.99554	-0.000610352	5	
0.0124167	0.00854492	1.93787	1.9873	-0.000610352	5	
0.0125	0.00854492	1.93329	1.97998	0	5	
0.0125833	0.00823975	1.93482	1.97021	-0.000915527	5	
0.0126667	0.0088501	1.93482	1.96167	-0.000305176	5	
0.01275	0.00823975	1.93176	1.95374	0.000305176	5	
0.0128333	0.00823975	1.93329	1.94427	-0.000305176	5	
0.0129167	0.00823975	1.93329	1.93665	0	5	
0.013	0.00762939	1.93176	1.92627	-0.000610352	5	
0.0130833	0.00823975	1.93024	1.91742	-0.000305176	5	
0.0131667	0.00823975	1.93482	1.90582	0	5	
0.01325	0.00762939	1.93329	1.89178	-0.000610352	5	
0.0133333	0.00793457	1.92871	1.87317	-0.00152588	5	
0.0134167	0.00823975	1.93176	1.84906	-0.000305176	5	
0.0135	0.00823975	1.93482	1.81854	-0.000610352	5	
0.0135833	0.00793457	1.93329	1.78467	-0.0012207	5	
0.0136667	0.00823975	1.93482	1.74988	-0.000610352	5	
0.01375	0.00793457	1.93329	1.71356	-0.0012207	5	
0.0138333	0.00762939	1.92871	1.68182	-0.000610352	5	
0.0139167	0.00762939	1.93329	1.65344	-0.0012207	5	
0.014	0.00823975	1.93024	1.62842	-0.000305176	5	
0.0140833	0.00762939	1.93024	1.61041	-0.0012207	5	
